"name";"active";"quantity";"price";"visibility";"image url";"diamenty zegarki slub?";"";"wiktorianska";"pavoni";"studio y";"eternel";"eclpise";"fruit";"jubile";"flow";"categores";"";"";""
"Hippie - srebrne kolczyki";"1";"462";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/0Hippie - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Hippie - srebrne kolczyki";"1";"441";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/1Hippie - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Hippie - srebrne kolczyki";"1";"476";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/2Hippie - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Hippie - srebrne kolczyki";"1";"400";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/3Hippie - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Złote kolczyki z diamentami";"1";"493";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/4Złote kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Złote kolczyki z diamentami";"1";"474";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/5Złote kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Złote kolczyki z diamentami";"1";"475";"495";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/6Złote kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Złote kolczyki z diamentami";"1";"423";"589";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/7Złote kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Amore - kolczyki z diamentami";"1";"423";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/8Amore - kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Éternel - kolczyki z diamentami";"1";"405";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/9Éternel - kolczyki z diamentami.jpg";"18";"12";"";"";"";"95";"";"";"";"";"18,12,,,,95,,,,";"";"";""
"Stella - kolczyki z diamentami";"1";"441";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/10Stella - kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Metropolitan - kolczyki z diamentami";"1";"425";"445";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/11Metropolitan - kolczyki z diamentami.jpg";"18";"12";"";"";"";"";"";"";"";"";"18,12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"426";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/12Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
"Unique - srebrne kolczyki";"1";"445";"69";"both";"http://localhost/BE-projekt/img/bizuteria/kolczyki/13Unique - srebrne kolczyki.jpg";"";"12";"";"";"";"";"";"";"";"";",12,,,,,,,,";"";"";""
